train_id,direction,step,time_s,pos,CI,gnb,D_LRBG,HO_state,Neighbor_Cell,CQI_wb,UL_SNR_wb,CES,EStop,V_TRAIN,NID_BG,voice_DL_kb,voice_UL_kb,etcs_DL_kb,etcs_UL_kb,ato_DL_kb,ato_UL_kb,remote_engine_ctrl_DL_kb,remote_engine_ctrl_UL_kb,pub_warn_DL_kb,pub_warn_UL_kb,telemetry_nc_DL_kb,telemetry_nc_UL_kb,equip_ctl_DL_kb,equip_ctl_UL_kb,asset_tel_DL_kb,asset_tel_UL_kb,pis_DL_kb,pis_UL_kb,video_surv_DL_kb,video_surv_UL_kb,critical_DL,critical_UL,perform_DL,perform_UL,CQI_sb1,CQI_sb2,CQI_sb3,CQI_sb4,CQI_sb5,CQI_sb6,CQI_sb7,UL_SNR_sb1,UL_SNR_sb2,UL_SNR_sb3,UL_SNR_sb4,UL_SNR_sb5,UL_SNR_sb6,UL_SNR_sb7
136,dn,2043,510.75,0,1,1,2511.0,3.0,3.0,15.0,20.9,0.0,0.0,85.0,1089.0,0.0,0.0,1.2811546301846912,0.3252456540679492,0.0,0.0,0.0,0.0,0.0,0.0,0.2562309260369382,1.300982616271797,0.2562309260369382,0.2601965232543594,1.024923704147753,1.0407860930174375,0.1281154630184691,0.0650491308135898,0.0,0.0,1.2811546301846912,0.3252456540679492,1.6655010192400987,2.667014363357184,15,15,15,15,15,15,15,20.9,20.9,20.9,20.9,20.9,20.9,20.9
136,dn,2044,511.0,1,1,1,2511.0,0.0,3.0,15.0,20.9,0.0,0.0,85.0,1089.0,0.0,0.0,1.315399603933045,0.3323364279724647,0.0,0.0,0.0,0.0,0.0,0.0,0.2630799207866089,1.329345711889859,0.2630799207866089,0.2658691423779718,1.0523196831464356,1.0634765695118873,0.1315399603933044,0.0664672855944929,0.0,0.0,1.315399603933045,0.3323364279724647,1.710019485112958,2.725158709374211,15,15,15,15,15,15,15,20.9,20.9,20.9,20.9,20.9,20.9,20.9
136,dn,2045,511.25,2,1,1,2511.0,0.0,3.0,15.0,20.9,0.0,0.0,85.0,1089.0,0.0,0.0,1.2868556804984632,0.3239218576546412,0.0,0.0,0.0,0.0,0.0,0.0,0.2573711360996926,1.2956874306185648,0.2573711360996926,0.2591374861237129,1.0294845443987706,1.0365499444948518,0.1286855680498463,0.0647843715309282,0.0,0.0,1.2868556804984632,0.3239218576546412,1.672912384648002,2.656159232768058,15,15,15,15,15,15,15,20.9,20.9,20.9,20.9,20.9,20.9,20.9
136,dn,2046,511.5,3,1,1,2511.0,0.0,3.0,15.0,20.9,0.0,0.0,85.0,1089.0,0.0,0.0,1.2950695527653633,0.323110281446653,0.0,0.0,0.0,0.0,0.0,0.0,0.2590139105530726,1.292441125786612,0.2590139105530726,0.2584882251573224,1.0360556422122906,1.0339529006292896,0.1295069552765363,0.0646220562893306,0.0,0.0,1.2950695527653633,0.323110281446653,1.6835904185949722,2.6495043078625544,15,15,15,15,15,15,15,20.9,20.9,20.9,20.9,20.9,20.9,20.9
136,dn,2047,511.75,4,1,1,2511.0,0.0,3.0,15.0,20.9,0.0,0.0,85.0,1089.0,0.0,0.0,1.2765978956721071,0.3210078106890829,0.0,0.0,0.0,0.0,0.0,0.0,0.2553195791344214,1.2840312427563318,0.2553195791344214,0.2568062485512664,1.0212783165376855,1.0272249942050655,0.1276597895672107,0.0642015621378166,0.0,0.0,1.2765978956721071,0.3210078106890829,1.6595772643737394,2.63226404765048,15,15,15,15,15,15,15,20.9,20.9,20.9,20.9,20.9,20.9,20.9
136,dn,2048,512.0,5,1,1,2511.0,0.0,3.0,15.0,20.9,0.0,0.0,85.0,1089.0,0.0,0.0,1.297188367833212,0.3209930631043466,0.0,0.0,0.0,0.0,0.0,0.0,0.2594376735666424,1.2839722524173864,0.2594376735666424,0.2567944504834772,1.0377506942665695,1.027177801933909,0.1297188367833212,0.0641986126208693,0.0,0.0,1.297188367833212,0.3209930631043466,1.686344878183176,2.6321431174556422,15,15,15,15,15,15,15,20.9,20.9,20.9,20.9,20.9,20.9,20.9
136,dn,2049,512.25,6,1,1,2511.0,0.0,3.0,15.0,20.9,0.0,0.0,85.0,1089.0,0.0,0.0,1.282372774256904,0.3209770354516206,0.0,0.0,0.0,0.0,0.0,0.0,0.2564745548513808,1.2839081418064826,0.2564745548513808,0.2567816283612965,1.0258982194055233,1.027126513445186,0.1282372774256904,0.0641954070903241,0.0,0.0,1.282372774256904,0.3209770354516206,1.6670846065339753,2.6320116907032896,15,15,15,15,15,15,15,20.9,20.9,20.9,20.9,20.9,20.9,20.9
136,dn,2050,512.5,7,1,1,2511.0,0.0,3.0,15.0,20.9,0.0,0.0,85.0,1089.0,0.0,0.0,1.2862130162038938,0.3257063906979081,0.0,0.0,0.0,0.0,0.0,0.0,0.2572426032407787,1.3028255627916323,0.2572426032407787,0.2605651125583265,1.028970412963115,1.042260450233306,0.1286213016203893,0.0651412781395816,0.0,0.0,1.2862130162038938,0.3257063906979081,1.672076921065062,2.6707924037228463,15,15,15,15,15,15,15,20.9,20.9,20.9,20.9,20.9,20.9,20.9
136,dn,2051,512.75,8,1,1,2511.0,0.0,3.0,15.0,20.9,0.0,0.0,85.0,1089.0,0.0,0.0,1.3070121914996906,0.3267684589550621,0.0,0.0,0.0,0.0,0.0,0.0,0.2614024382999381,1.3070738358202485,0.2614024382999381,0.2614147671640497,1.0456097531997526,1.0456590686561988,0.130701219149969,0.0653536917910124,0.0,0.0,1.3070121914996906,0.3267684589550621,1.699115848949598,2.679501363431509,15,15,15,15,15,15,15,20.9,20.9,20.9,20.9,20.9,20.9,20.9
136,dn,2052,513.0,9,1,1,2511.0,0.0,3.0,15.0,20.9,0.0,0.0,85.0,1089.0,0.0,0.0,1.2846564343444624,0.3242608595027567,0.0,0.0,0.0,0.0,0.0,0.0,0.2569312868688925,1.297043438011027,0.2569312868688925,0.2594086876022053,1.02772514747557,1.0376347504088217,0.1284656434344462,0.0648521719005513,0.0,0.0,1.2846564343444624,0.3242608595027567,1.6700533646478013,2.658939047922605,15,15,15,15,15,15,15,20.9,20.9,20.9,20.9,20.9,20.9,20.9
